"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Norma Torres","house","California","35th","","Norma Torres","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Raul Ruiz","house","California","36th","","Raul Ruiz","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Karen Bass","house","California","37th","","Karen Bass","""Rep. Bass a no-go for Boxer seat ""I have no plans to run for the Senate as I remain honored to serve"" 37th district, plan to seek reelection""","https://twitter.com/LATSeema/status/556182229710163968"
"Chris Wiggins","house","California","37th","","Karen Bass","""Clinton, Harris are statewide election winners""","http://wavenewspapers.com/clinton-harris-are-statewide-election-winners"
"Linda Sanchez","house","California","38th","","Linda Sanchez","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Brett Murdock","house","California","39th","","Ed Royce","""Brett Murdock to Challenge Ed Royce for Congress: Democrats Get the Guy They Wanted""","http://www.orangejuiceblog.com/2015/10/brett-murdock-to-challenge-ed-royce-for-congress-democrats-get-the-guy-they-wanted"
"Lucille Roybal-Allard","house","California","40th","","Lucille Roybal-Allard","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Mark Takano","house","California","41st","","Mark Takano","""Political Notebook: Out candidates seek CA congressional seats""","http://www.ebar.com/news/article.php?sec=news&article=70792"
"Tim Sheridan","house","California","42nd","","Ken Calvert","""Cheryl Brown, Sabrina Cervantes and Tim Sheridan win ""pre-endorsements""""","http://www.pe.com/articles/democrats-793285-primary-competition.html"
"Maxine Waters","house","California","43rd","","Maxine Waters","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Nanette Barragán","house","California","44th","","Janice Hahn","""Hermosa Beach official joins 2016 race to succeed Rep. Janice Hahn""","http://www.latimes.com/local/political/la-me-pc-nanette-barragan-congress-20150414-story.html"
"Isadore Hall III","house","California","44th","","Janice Hahn","""Democrats Start Maneuvering to Succeed SoCal Congresswoman (Updated)""","http://atr.rollcall.com/house-races-janice-hahn-los-angeles-isadore-hall"
"Ron Varasteh","house","California","45th","","Mimi Walters","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Lou Correa","house","California","46th","","Loretta Sanchez","""And just like that, Lou Correa announces for Congress""","http://www.theliberaloc.com/2015/05/14/and-just-like-that-lou-correa-announces-for-congress/comment-page-1"
"Bao Nguyen","house","California","46th","","Loretta Sanchez","""Democrats Lou Correa, Bao Nguyen will face off for Loretta Sanchez's seat""","http://ocregister.com/articles/peterson-720065-nguyen-correa.html"
"Alan Lowenthal","house","California","47th","","Alan Lowenthal","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Suzanne Savary","house","California","48th","","Dana Rohrabacher","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Doug Applegate","house","California","49th","","Darrell Issa","""Democrats fundraising off John Boehner resignation""","http://www.washingtonpost.com/news/powerpost/wp/2015/09/28/democrats-fundraising-off-john-boehner-resignation"
"Patrick Malloy","house","California","50th","","Duncan D. Hunter","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Juan Vargas","house","California","51st","","Juan Vargas","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Scott Peters","house","California","52nd","","Scott Peters","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Susan Davis","house","California","53rd","","Susan Davis","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Diana Degette","house","Colorado","1st","","Diana DeGette","",""
"Jared Polis","house","Colorado","2nd","","Jared Polis","""Fort Collins Republican to challenge Polis in House""","http://www.coloradoan.com/story/news/2015/11/12/fort-collins-republican-challenge-polis-house/75632166"
"Gail Schwartz","house","Colorado","3rd","","Scott Tipton","""Gail Schwartz looks to unseat Scott Tipton""","http://www.denverpost.com/news/ci_29742677/gail-schwartz-looks-unseat-scott-tipton"
"Bob Seay","house","Colorado","4th","","Ken Buck","""Band teacher to run for Congress""","http://www.lamarledger.com/news/ci_28760354/band-teacher-run-congress"
"Misty Plowright","house","Colorado","5th","","Doug Lamborn","""Congressman Doug Lamborn running for re-election""","http://www.koaa.com/story/31241730/congressman-doug-lamborn-running-for-re-election"
"Morgan Carroll","house","Colorado","6th","","Mike Coffman","""Morgan Carroll formally nominated by Dems for CD6 race against Rep. Mike Coffman""","http://www.aurorasentinel.com/news/carroll-formally-nominated-cd6-race-coffman"
"Ed Perlmutter","house","Colorado","7th","","Ed Perlmutter","",""
"John Larson","house","Connecticut","1st","","John Larson","""Democrats Nominate Incumbents For Congress""","http://www.courant.com/politics/elections/hc-democrats-congressional-candidates-20160509-story.html"
"Joe Courtney","house","Connecticut","2nd","","Joe Courtney","""Democrats Nominate Incumbents For Congress""","http://www.courant.com/politics/elections/hc-democrats-congressional-candidates-20160509-story.html"
